# Pin Out For LIFCL-40,,,,,,,,,,,,
# Revision 0.9,,,,,,,,,,,,
"# Revised Sept, 24, 2019",,,,,,,,,,,,
# Revision 1.0,,,,,,,,,,,,
"# Revised Sept, 24, 2019",,,,,,,,,,,,
"# Revision 1.1, May 20, 2020",,,,,,,,,,,,
"#  - Added CSFBGA121, CABGA256 packages",,,,,,,,,,,,
"# Revision 1.2,Oct 26, 2020",,,,,,,,,,,,
#  - Removed references to PMU,,,,,,,,,,,,
"# Revision 1.21, December 29, 2020",,,,,,,,,,,,
# - Removed reference of PMU_EXT_CLK,,,,,,,,,,,,
,,,,,,,,,,,,
PADN,Pin/Ball Funcion,CUST_NAME,BANK,Dual Function,LVDS,HIGHSPEED,DQS,CABGA400,CSBGA289,QFN72,CSFBGA121,CABGA256
468,PR34B,-,2,-,Comp_OF_PR34A,-,,N20,J12,-,-,J15
467,PR34A,-,2,PCLKT2_2,True_OF_PR34B,-,,N19,J13,-,-,J16
97,PL32B,-,6,-,Comp_OF_PL32A,-,,L8,J5,-,-,J2
0,VSS,-,-,-,-,-,,F10,F5,-,-,J3
0,VCCIO6,-,6,-,-,-,,L3,K4,-,-,J4
90,PL30B,-,6,-,Comp_OF_PL30A,-,,L6,J3,-,-,J5
89,PL30A,-,6,PCLKT6_0,True_OF_PL30B,-,,L5,J2,-,-,J6
0,VSS,-,-,-,-,-,,J11,R9,-,-,J7
0,VSS,-,-,-,-,-,,G11,F8,-,-,J8
0,VSS,-,-,-,-,-,,M13,D10,-,-,J9
103,PL34A,-,6,PCLKT6_2,True_OF_PL34B,-,,M2,K1,-,-,K1
0,VCCAUXH3,VCCAUX,-,-,-,-,,N12,M10,-,H3,K10
457,PR38A,-,2,-,True_OF_PR38B,-,,P17,-,-,-,K11
458,PR38B,-,2,-,Comp_OF_PR38A,-,,P18,-,-,-,K12
417,ADC_DN0,-,70,-,Comp_OF_ADC_DP0,-,,R16,L16,-,-,K13
419,ADC_DP0,-,70,-,True_OF_ADC_DN0,-,,T16,L15,-,-,K14
407,ADC_DP1,-,70,-,True_OF_ADC_DN1,-,,T17,L17,-,-,K15
408,ADC_DN1,-,70,-,Comp_OF_ADC_DP1,-,,U17,M17,-,-,K16
104,PL34B,-,6,-,Comp_OF_PL34A,-,,M3,K2,-,-,K2
111,PL36B,-,6,-,Comp_OF_PL36A,-,,M5,L2,-,-,K3
110,PL36A,-,6,-,True_OF_PL36B,-,,M4,L1,-,-,K4
116,PL38B,-,6,-,Comp_OF_PL38A,-,,M7,K7,-,-,K5
115,PL38A,-,6,-,True_OF_PL38B,-,,M6,K6,-,-,K6
200,PB10B,-,5,PCLKC5_2/ADC_CN2/COMP3N,Comp_OF_PB10A,TRUE,,R6,P2,20,L11,K7
0,VCCAUXH4,VCCAUX,-,-,-,-,,N10,M8,-,G6,K8
0,VCCECLK,VCC,-,-,-,-,,N11,L8,-,F8,K9
123,PL40A,-,6,-,True_OF_PL40B,-,,N4,L4,-,-,L1
380,PB80B,-,3,ADC_CN12,Comp_OF_PB80A,TRUE,BDQ76,U16,T16,-,-,L10
376,PB80A,-,3,ADC_CP12,True_OF_PB80B,TRUE,BDQ76,V17,T17,-,-,L11
390,PB82B,-,3,ADC_CN15,Comp_OF_PB82A,TRUE,BDQ76,W17,R16,-,-,L12
0,VSSADC,-,70,-,-,-,,-,N16,-,-,L13
0,VCCADC18,-,70,-,-,-,,R15,M16,-,-,L14
418,ADC_REFP0,-,70,-,-,-,,N13,L14,-,-,L15
406,ADC_REFP1,-,70,-,-,-,,P14,N17,-,-,L16
124,PL40B,-,6,-,Comp_OF_PL40A,-,,N5,L5,-,-,L2
146,PL47B,-,6,-,Comp_OF_PL47A,-,,R2,N2,-,-,L3
139,PL46A,-,6,-,True_OF_PL46B,-,,P5,M1,-,-,L4
140,PL46B,-,6,-,Comp_OF_PL46A,-,,P6,M2,-,-,L5
191,PB10A,-,5,PCLKT5_2/ADC_CP2/COMP3P,True_OF_PB10B,TRUE,,R5,R2,19,K11,L6
187,PB8A,-,5,PCLKT5_1/LLC_GPLL0T_IN/ADC_CP3,True_OF_PB8B,TRUE,,Y2,T2,11,J11,L7
260,PB34A,-,4,-,True_OF_PB34B,TRUE,BDQ38,P10,P7,-,-,L8
264,PB34B,-,4,-,Comp_OF_PB34A,TRUE,BDQ38,R10,N7,-,-,L9
129,PL42A,-,6,-,True_OF_PL42B,-,,N6,L7,-,-,M1
294,PB46A,-,4,-,True_OF_PB46B,TRUE,BDQ38,P11,M9,-,-,M10
375,PB78B,-,3,ADC_CN11,Comp_OF_PB78A,TRUE,BDQ76,V16,U16,-,-,M11
369,PB78A,-,3,ADC_CP11,True_OF_PB78B,TRUE,BDQ76,U15,U15,-,-,M12
383,PB82A,-,3,ADC_CP15,True_OF_PB82B,TRUE,BDQ76,Y17,R17,-,-,M13
360,PB74A,-,3,PCLKT3_3/ADC_CP14,True_OF_PB74B,TRUE,BDQ76,T13,P15,33,H1,M14
395,PB84B,-,3,LRC_GPLL0C_IN/VREF3_2,Comp_OF_PB84A,TRUE,BDQ76,Y18,P17,37,G1,M15
391,PB84A,-,3,LRC_GPLL0T_IN,True_OF_PB84B,TRUE,BDQ76,W18,P16,36,G2,M16
130,PL42B,-,6,-,Comp_OF_PL42A,-,,N7,L6,-,-,M2
145,PL47A,-,6,-,True_OF_PL47B,-,,R1,N3,-,-,M3
186,PB6B,-,5,PCLKC5_0/CDR_RXN1/ADC_CN1/COMP2N,Comp_OF_PB6A,TRUE,,W1,R1,15,H10,M4
0,VSS,-,-,-,-,-,,M11,M7,-,-,M5
0,VCCAUXH5,VCCAUX,-,-,-,-,,N8,M6,-,G9,M6
190,PB8B,-,5,PCLKC5_1/LLC_GPLL0C_IN/ADC_CN3,Comp_OF_PB8A,TRUE,,Y3,U2,10,J10,M7
277,PB38B,-,4,-,Comp_OF_PB38A,TRUE,BDQSN38,Y9,U10,-,-,M8
271,PB38A,-,4,-,True_OF_PB38B,TRUE,BDQS38,W9,U9,-,-,M9
150,PL49B,-,6,-,Comp_OF_PL49A,-,,R4,N1,-,-,N1
298,PB46B,-,4,VREF4_2,Comp_OF_PB46A,TRUE,BDQ38,R11,N10,-,-,N10
334,PB64B,-,3,ADC_CN4,Comp_OF_PB64A,TRUE,BDQ60,P12,N13,-,-,N11
330,PB64A,-,3,ADC_CP4,True_OF_PB64B,TRUE,BDQ60,R12,N12,-,-,N12
351,PB70B,-,3,COMP2IN,Comp_OF_PB70A,TRUE,BDQ76,R13,M14,-,-,N13
363,PB74B,-,3,PCLKC3_3/ADC_CN14,Comp_OF_PB74A,TRUE,BDQ76,T14,N15,34,H2,N14
370,PB76B,-,3,COMP3IN,Comp_OF_PB76A,TRUE,BDQSN76,Y16,T15,-,-,N15
364,PB76A,-,3,COMP3IP,True_OF_PB76B,TRUE,BDQS76,Y15,R15,-,-,N16
149,PL49A,-,6,-,True_OF_PL49B,-,,R3,P1,-,-,N2
178,PB4B,-,5,CDR_RXN0/ADC_CN0/COMP1N,Comp_OF_PB4A,TRUE,,T1,M5,13,G10,N3
179,PB6A,-,5,PCLKT5_0/CDR_RXP1/ADC_CP1/COMP2P,True_OF_PB6B,TRUE,,V1,T1,16,H11,N4
0,VCCIO5,-,5,-,-,-,,V3,P3,-,J9,N5
0,VCCIO4,-,4,-,-,-,,T9,R8,-,J6,N6
0,VSS,-,-,-,-,-,,K11,K8,-,-,N7
267,PB36A,-,4,-,True_OF_PB36B,TRUE,BDQ38,W8,P8,-,-,N8
270,PB36B,-,4,-,Comp_OF_PB36A,TRUE,BDQ38,V9,N8,-,-,N9
199,PB12A,-,5,PCLKT5_3,True_OF_PB12B,TRUE,,Y5,T3,9,L10,P1
305,PB56A,-,3,ADC_CP7,True_OF_PB56B,TRUE,BDQ60,V11,P10,-,J4,P10
304,PB54B,-,3,PCLKC3_0/ADC_CN5,Comp_OF_PB54A,TRUE,BDQ60,Y11,R12,23,L3,P11
0,VCCIO3,-,3,-,-,-,,V15,P13,-,K3,P12
0,VSS,-,-,-,-,-,,J17,R14,-,H6,P13
349,PB70A,-,3,COMP2IP,True_OF_PB70B,TRUE,BDQ76,P13,M13,-,-,P14
352,PB72A,-,3,PCLKT3_2/ADC_CP13,True_OF_PB72B,TRUE,BDQ76,W14,N14,30,J1,P15
358,PB72B,-,3,PCLKC3_2/ADC_CN13,Comp_OF_PB72A,TRUE,BDQ76,W15,M15,31,J2,P16
205,PB12B,-,5,PCLKC5_3/VREF5_2,Comp_OF_PB12A,TRUE,,W5,U3,8,K10,P2
173,PB4A,-,5,CDR_RXP0/VREF5_1/ADC_CP0/COMP1P,True_OF_PB4B,TRUE,,U1,N4,14,G11,P3
240,PB24B,-,4,PCLKC4_2,Comp_OF_PB24A,TRUE,BDQ22,V7,T6,-,F6,P4
236,PB22B,-,4,-,Comp_OF_PB22A,TRUE,BDQSN22,Y6,U5,-,G8,P5
257,PB32A,-,4,-,True_OF_PB32B,TRUE,BDQ38,R9,T8,-,F5,P6
259,PB32B,-,4,-,Comp_OF_PB32A,TRUE,BDQ38,P9,T9,-,G5,P7
286,PB42B,-,4,-,Comp_OF_PB42A,TRUE,BDQ38,V10,N9,-,-,P8
293,PB44B,-,4,PCLKC4_0,Comp_OF_PB44A,TRUE,BDQ38,Y10,U11,-,K5,P9
213,PB16A,-,4,VREF4_1,True_OF_PB16B,TRUE,BDQ22,T6,R5,-,L9,R1
310,PB56B,-,3,ADC_CN7,Comp_OF_PB56A,TRUE,BDQ60,U11,N11,-,K4,R10
300,PB54A,-,3,PCLKT3_0/VREF3_1/ADC_CP5,True_OF_PB54B,TRUE,BDQ60,W11,R11,22,L4,R11
317,PB60A,-,3,ADC_CP9,True_OF_PB60B,TRUE,BDQS60,W13,P11,-,L2,R12
323,PB62A,-,3,ADC_CP10,True_OF_PB62B,TRUE,BDQ60,U12,T12,-,-,R13
329,PB62B,-,3,ADC_CN10,Comp_OF_PB62A,TRUE,BDQ60,T12,T13,-,-,R14
346,PB68B,-,3,ADC_CN8,Comp_OF_PB68A,TRUE,BDQ60,U14,U14,28,K2,R15
343,PB68A,-,3,ADC_CP8,True_OF_PB68B,TRUE,BDQ60,V14,T14,27,K1,R16
215,PB16B,-,4,-,Comp_OF_PB16A,TRUE,BDQ22,U6,T4,-,K9,R2
216,PB18A,-,4,PCLKT4_3,True_OF_PB18B,TRUE,BDQ22,R7,R4,-,J8,R3
235,PB24A,-,4,PCLKT4_2,True_OF_PB24B,TRUE,BDQ22,W7,U6,-,F7,R4
231,PB22A,-,4,-,True_OF_PB22B,TRUE,BDQS22,W6,U4,-,G7,R5
244,PB26B,-,4,-,Comp_OF_PB26A,TRUE,BDQ22,P8,P6,-,L7,R6
251,PB28B,-,4,-,Comp_OF_PB28A,TRUE,BDQ22,T8,U8,-,J7,R7
283,PB42A,-,4,-,True_OF_PB42B,TRUE,BDQ38,U10,P9,-,-,R8
289,PB44A,-,4,PCLKT4_0,True_OF_PB44B,TRUE,BDQ38,W10,T11,-,L5,R9
0,VSS,-,-,-,-,-,,H10,G5,-,-,T1
282,PB40B,-,4,PCLKC4_1,Comp_OF_PB40A,TRUE,BDQ38,T11,R10,-,J5,T10
316,PB58B,-,3,PCLKC3_1/ADC_CN6,Comp_OF_PB58A,TRUE,BDQ60,W12,M11,25,H4,T11
312,PB58A,-,3,PCLKT3_1/ADC_CP6,True_OF_PB58B,TRUE,BDQ60,Y12,M12,24,G4,T12
324,PB60B,-,3,ADC_CN9,Comp_OF_PB60A,TRUE,BDQSN60,V12,P12,-,L1,T13
338,PB66A,-,3,COMP1IP,True_OF_PB66B,TRUE,BDQ60,Y13,U13,-,-,T14
342,PB66B,-,3,COMP1IN,Comp_OF_PB66A,TRUE,BDQ60,Y14,U12,-,-,T15
0,VSS,-,-,-,-,-,,Y20,U17,-,D3,T16
222,PB18B,-,4,PCLKC4_3,Comp_OF_PB18A,TRUE,BDQ22,T7,P4,-,K8,T2
225,PB20A,-,4,-,True_OF_PB20B,TRUE,BDQ22,V6,N5,-,H8,T3
229,PB20B,-,4,-,Comp_OF_PB20A,TRUE,BDQ22,U7,P5,-,H7,T4
241,PB26A,-,4,-,True_OF_PB26B,TRUE,BDQ22,P7,N6,-,L8,T5
246,PB28A,-,4,-,True_OF_PB28B,TRUE,BDQ22,R8,U7,-,K7,T6
252,PB30A,-,4,-,True_OF_PB30B,TRUE,BDQ22,Y7,T7,-,L6,T7
254,PB30B,-,4,-,Comp_OF_PB30A,TRUE,BDQ22,Y8,R7,-,K6,T8
276,PB40A,-,4,PCLKT4_1,True_OF_PB40B,TRUE,BDQ38,T10,T10,-,H5,T9
